matchkey,donorkey,facilitykey,matchstatus,matchsubstatus,matchCreated,closedOrDelivered,enumcode,qty
9113a8e1-da06-4f82-9438-e09b19de46a2,57c6ee41-6820-4e15-ae13-1feeee2891fa,01fc811b-9ada-4415-8631-36a2d53afe17,delivered,,2021-01-20 18:56:28.082 UTC,2021-02-23 03:45:25.415 UTC,gown,4000
017afc5f-bac0-49d8-b70a-7c63be2da270,c2b5e375-d44c-4f20-bc80-4f39defb7b7e,02161e58-8e56-4261-9938-48fbdfc26b22,closed,no_supply,2021-04-26 18:31:46.392 UTC,2021-06-22 15:44:45.607 UTC,three_ply_mask,10000
3200201c-f3f4-4231-a4a1-9323767dc78e,277172eb-7f69-4264-a401-4621ad69d2f3,02161e58-8e56-4261-9938-48fbdfc26b22,delivered,,2021-03-20 00:48:00.781 UTC,2021-04-14 20:44:14.965 UTC,kn95,1920
a3443ccf-6795-4ac2-a1d5-e2ff749a8a90,3605275c-bf71-4323-9234-71792cb2e442,02161e58-8e56-4261-9938-48fbdfc26b22,delivered,,2021-04-03 00:40:12.249 UTC,2021-03-26 00:00:00 UTC,kn95,990
d3f8f952-fb1d-42e0-b6ce-9265ebea283b,3605275c-bf71-4323-9234-71792cb2e442,02161e58-8e56-4261-9938-48fbdfc26b22,delivered,,2021-04-03 00:43:32.986 UTC,2021-03-26 00:00:00 UTC,three_ply_mask,2
f4482c36-a5d5-4dff-93fa-4bf1eb8f2f85,3605275c-bf71-4323-9234-71792cb2e442,02161e58-8e56-4261-9938-48fbdfc26b22,delivered,,2021-04-03 01:57:45.067 UTC,2021-03-26 00:00:00 UTC,three_ply_mask,1998
9ea54c3c-68d3-4dfb-8218-cdd5a32d7308,6be95b8f-6236-4dfc-92ed-0418f888ede5,021d02b2-d7b7-40eb-87a7-5e75614a2e54,delivered,,2020-05-20 00:00:00 UTC,2020-10-14 07:10:12 UTC,gown,1926
d43d7f46-bcd0-4b95-aee8-99785f90734f,bee9da85-842d-4774-b81f-ce232f058b12,021d02b2-d7b7-40eb-87a7-5e75614a2e54,delivered,,2020-05-18 00:00:00 UTC,2020-10-14 07:10:22 UTC,n95,1000
0d011a67-95b2-4e13-9a3c-eb24cb2c7f99,2884758f-ad64-4777-be27-f91c03926283,022e7fbb-d4a7-4f06-bea3-501a3a9c284f,delivered,,2020-07-07 00:00:00 UTC,2020-10-14 08:10:24 UTC,face_shield,180
49706d79-16f1-4577-a550-ba25b2110cdd,1caf6ce4-e537-4200-bb85-66c0630bad4a,022e7fbb-d4a7-4f06-bea3-501a3a9c284f,delivered,,2020-06-04 00:00:00 UTC,2020-10-14 07:10:06 UTC,face_shield,50
